,Country,GDP,Armed Forces size,Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Physicians per thousand,Population: Labor force participation (%),Urban_population,Latitude
0,Afghanistan,19101353833.0,323000.0,9.7,47.9,64.5,38041754.0,0.28,48.9,9797273.0,33.93911
1,Albania,15278077447.0,9000.0,55.0,7.8,78.5,2854191.0,1.2,55.7,1747593.0,41.153332
2,Algeria,169988236398.0,317000.0,51.4,20.1,76.7,43053054.0,1.72,41.2,31510100.0,28.033886
4,Angola,94635415870.0,117000.0,9.3,51.6,60.8,31825295.0,0.21,77.5,21061025.0,-11.202692
6,Argentina,449663446954.0,105000.0,90.0,8.8,76.5,44938712.0,3.96,61.3,41339571.0,-38.416097
7,Armenia,13672802158.0,49000.0,54.6,11.0,74.9,2957731.0,4.4,55.6,1869848.0,40.069099
8,Australia,1392680589329.0,58000.0,113.1,3.1,82.7,25766605.0,3.68,65.5,21844756.0,-25.274398
9,Austria,446314739528.0,21000.0,85.1,2.9,81.6,8877067.0,5.17,60.7,5194416.0,47.516231
10,Azerbaijan,39207000000.0,82000.0,27.7,19.2,72.9,10023318.0,3.45,66.5,5616165.0,40.143105
11,The Bahamas,12827000000.0,1000.0,15.1,8.3,73.8,389482.0,1.94,74.6,323784.0,25.03428
12,Bahrain,38574069149.0,19000.0,50.5,6.1,77.2,1501635.0,0.93,73.4,1467109.0,26.0667
13,Bangladesh,302571254131.0,221000.0,20.6,25.1,72.3,167310838.0,0.58,59.0,60987417.0,23.684994
14,Barbados,5209000000.0,1000.0,65.4,11.3,79.1,287025.0,2.48,65.2,89431.0,13.193887
15,Belarus,63080457023.0,155000.0,87.4,2.6,74.2,9466856.0,5.19,64.1,7482982.0,53.709807
16,Belgium,529606710418.0,32000.0,79.7,2.9,81.6,11484055.0,3.07,53.6,11259082.0,50.503887
17,Belize,1879613600.0,2000.0,24.7,11.2,74.5,390353.0,1.12,65.1,179039.0,17.189877
18,Benin,14390709095.0,12000.0,12.3,60.5,61.5,11801151.0,0.08,70.9,5648149.0,9.30769
19,Bhutan,2446674101.0,6000.0,15.6,24.8,71.5,727145.0,0.42,66.7,317538.0,27.514162
21,Bosnia and Herzegovina,20047848435.0,11000.0,23.3,5.0,77.3,3301000.0,2.16,46.4,1605144.0,43.915886
22,Botswana,18340510789.0,9000.0,24.9,30.0,69.3,2346179.0,0.37,70.8,1616550.0,-22.328474
23,Brazil,1839758040766.0,730000.0,51.3,12.8,75.7,212559417.0,2.15,63.9,183241641.0,-14.235004
